team_id,team_name,short_name,team_code,country_id,country,country_code,founded_year,stadium,club_colors,website,address,coach_id,coach_name,coach_nationality,coach_birth_date,crest_url
80,RCD Espanyol de Barcelona,Espanyol,ESP,2224,Spain,ESP,1900,RCDE Stadium,Blue / White,http://www.rcdespanyol.com,"Avenida Baix Llobregat, 100 Cornellà de Llobregat 08940",,Unknown,Unknown,,https://crests.football-data.org/80.png
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,2224,Spain,ESP,1924,Estadio del Rayo Vallecano,White / Red,http://www.rayovallecano.es,"Calle del Payaso Fofó, s/n Madrid 28018",,Unknown,Unknown,,https://crests.football-data.org/87.png
90,Real Betis Balompié,Real Betis,BET,2224,Spain,ESP,1907,Estadio Benito Villamarín,Green / White,http://www.realbetisbalompie.es,"Avenida de Heliópolis, s/n Sevilla 41012",,Unknown,Unknown,,https://crests.football-data.org/90.png
86,Real Madrid CF,Real Madrid,RMA,2224,Spain,ESP,1902,Estadio Santiago Bernabéu,White / Purple,http://www.realmadrid.com,"Avenida Concha Espina, 1 Madrid 28036",,Unknown,Unknown,,https://crests.football-data.org/86.png
5335,Real Racing Club de Santander,Santander,SAN,2224,Spain,ESP,1913,Campos de Sport de El Sardinero,White / Black / Green,http://www.realracingclub.com,"Calle Real Racing Club, s/n Santander 39005",,Unknown,Unknown,,https://crests.football-data.org/5335.png
92,Real Sociedad de Fútbol,Real Sociedad,RSO,2224,Spain,ESP,1903,Estadio Municipal de Anoeta,Blue / White,http://www.realsociedad.com,"Anoeta Pasalekua, 1 San Sebastián 20014",,Unknown,Unknown,,https://crests.football-data.org/92.png
3929,Royale Union Saint-Gilloise,Union SG,USG,2023,Belgium,BEL,1897,Stade Joseph Mariën,Blue / Yellow,http://www.rusg.brussels,"Chaussée de Bruxelles, 223 Forest 1190",,Unknown,Unknown,,https://crests.football-data.org/3929.png
17,SC Freiburg,Freiburg,SCF,2088,Germany,DEU,1912,Schwarzwald-Stadion,Red / White,http://www.scfreiburg.com,Schwarzwaldstraße 193 Freiburg 79117,,Unknown,Unknown,,https://crests.football-data.org/17.png
29,SC Paderborn 07,SC Paderborn,SCP,2088,Germany,DEU,1985,Benteler-Arena,Black / Blue,http://www.scpaderborn07.de,Paderborner Str. 89 Paderborn 33104,,Unknown,Unknown,,https://crests.football-data.org/29.png
930,SK Slavia Praha,Slavia Praha,SLP,2062,Czech Republic,CZE,1892,Sinobo Stadium,Red / White,http://www.slavia.cz,Vladivostocká 1460/2 Praha 10005,,Unknown,Unknown,,https://crests.football-data.org/930.png
