id,name,shortName,tla,founded,venue,clubColors,website,address,area.id,area.name,coach.name,crest
107,Genoa CFC,Genoa,GEN,1893.0,Stadio Comunale Luigi Ferraris,Red / Navy Blue,http://www.genoacfc.it,"Via Ronchi, 67 Genova 16155",2114,Italy,Unknown,https://crests.football-data.org/107.png
110,SS Lazio,Lazio,LAZ,1900.0,Stadio Olimpico,White / Sky Blue,http://www.sslazio.it,"Via di Santa Cornelia, 1000 Formello 00060",2114,Italy,Unknown,https://crests.football-data.org/110.png
112,Parma Calcio 1913,Parma,PAR,1913.0,Stadio Ennio Tardini,White / Black,http://www.parmacalcio1913.com,"Strada Carlo Pisacane, 4 Parma 43121",2114,Italy,Unknown,https://crests.football-data.org/112.png
115,Udinese Calcio,Udinese,UDI,1896.0,Dacia Arena,White / Black,http://www.udinese.it,Via Agostino e Angelo Candolini 2 Udine 33100,2114,Italy,Unknown,https://crests.football-data.org/115.png
454,Venezia FC,Venezia FC,VEN,1907.0,Stadio Pierluigi Penzo,Orange / Black / Green,http://www.veneziafc.club,"Viale Ancona, 43 Venezia 30172",2114,Italy,Unknown,https://crests.football-data.org/454.png
470,Frosinone Calcio,Frosinone,FRO,1912.0,Stadio Benito Stirpe,Yellow / Blue,http://www.frosinonecalcio.com,"Via Marittima, 2 Frosinone 03100",2114,Italy,Unknown,https://crests.football-data.org/470.png
471,US Sassuolo Calcio,Sassuolo,SAS,1920.0,Mapei Stadium - Città del Tricolore,Green / Black,http://www.sassuolocalcio.it,"Piazza Risorgimento, 47 Sassuolo 41049",2114,Italy,Unknown,https://crests.football-data.org/471.png
586,Torino FC,Torino,TOR,1894.0,Stadio Olimpico di Torino,Brown / White,http://www.torinofc.it,Via Arcivescovado 1 Torino 10122,2114,Italy,Unknown,https://crests.football-data.org/586.png
5890,US Lecce,Lecce,USL,1908.0,Stadio Comunale Via Del Mare,Yellow / Red / Navy Blue,http://www.uslecce.it,Via Templari 11 Lecce 73100,2114,Italy,Unknown,https://crests.football-data.org/5890.png
5911,AC Monza,Monza,MON,1912.0,Stadio Comunale Brianteo,Red / White,http://www.monza1912.it,"Via Ragazzi del '99, 14 Monza 20900",2114,Italy,Unknown,https://crests.football-data.org/5911.png
7397,Como 1907,Como 1907,COM,1907.0,Stadio Giuseppe Sinigaglia,Sky Blue / White,http://www.como1907.net/,Viale Sinigaglia 2 Como 22100,2114,Italy,Unknown,https://crests.football-data.org/7397.png
